Brand_ID,Classification,Price,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,free_chlorides
Wi02-1000,Red,14.99,6.72,0.3136,0.2472,5.704,0.04416,27.9,221.16,1.085313,3.3592,0.6758,8.836,0.031281193
Wi02-1001,Red,14.99,7.296,0.2058,0.5047,2.3,0.04324,18,126.1,1.0810402,3.276,0.5232,10.434,0.054080364
Wi02-1002,Red,14.99,6.336,0.1666,0.3605,2.392,0.0276,29.7,75.66,1.0806914,3.3488,0.7848,10.622,0.032252768
Wi02-1003,Red,23.99,6.72,0.2156,0.3193,2.484,0.0276,36.9,131.92,1.078882,3.2864,0.4033,11.938,0.022642643
Wi02-1004,Red,19.99,6.048,0.2548,0.2987,2.024,0.03956,31.5,169.75,1.081062,3.5152,0.4687,10.904,0.034458454
Wi02-1005,Red,19.99,7.584,0.2744,0.4223,4.508,0.05336,27.9,148.41,1.086294,3.4008,0.5559,9.118,0.030152186
Wi02-1006,Red,13.99,6.336,0.2646,0.3399,1.288,0.03864,21.6,177.51,1.0814435,3.4216,0.5014,10.058,0.046763737
Wi02-1007,Red,15.99,7.392,0.1764,0.3502,2.484,0.06072,13.5,56.26,1.084223,3.5048,0.8502,11.092,0.036231765
Wi02-1008,Red,19.99,6.432,0.5194,0.2987,3.956,0.06348,18,110.58,1.0792526,3.3488,0.6431,12.596,0.035202141
Wi02-1009,Red,13.99,6.24,0.2254,0.3708,14.996,0.03496,38.7,129.01,1.0891716,3.3904,0.4469,8.272,0.042457764
Wi02-1010,Red,19.99,6.528,0.147,0.3296,8.096,0.05336,21.6,106.7,1.086948,3.536,0.436,8.272,0.030555556
Wi02-1011,Red,8.99,7.68,0.7252,0.2163,3.68,0.046,21.6,129.01,1.0836562,3.1824,0.4142,9.118,0.045627819
Wi02-1012,Red,9.99,6.912,0.6076,0.0618,2.484,0.07084,13.5,82.45,1.0872314,3.6504,0.5886,8.93,0.036898389
Wi02-1013,Red,19.99,5.952,0.2254,0.3708,15.824,0.03588,33.3,126.1,1.0894114,3.3592,0.4687,8.272,0.031071252
Wi02-1014,Red,20.99,11.328,0.2548,0.5356,1.656,0.06532,5.4,9.7,1.086512,3.328,0.7848,9.588,0.021516945
Wi02-1015,Red,14.99,6.624,0.3724,0.2884,7.636,0.05704,19.8,161.02,1.0846154,3.2864,0.7848,9.964,0.04052446
Wi02-1016,Red,14.99,7.2,0.2352,0.2987,1.012,0.04232,30.6,81.48,1.079318,3.1616,0.4251,10.763,0.027980637
Wi02-1017,Red,12.99,7.104,0.6468,0,1.656,0.069,11.7,38.8,1.087602,3.6504,0.6104,8.836,0.038865962
Wi02-1018,Red,16.99,6.144,0.294,0.5253,5.06,0.04416,55.8,166.84,1.083678,3.2032,0.4905,8.554,0.031175957
Wi02-1019,Red,8.99,8.064,0.1862,0.4429,1.932,0.04784,18,100.88,1.08346,2.964,0.5014,8.93,0.043476715
Wi02-1020,Red,14.99,10.656,0.1764,0.4944,1.38,0.06256,6.3,14.55,1.087057,3.3488,0.6976,9.494,0.032032988
Wi02-1021,Red,15.99,5.76,0.1568,0.2266,1.472,0.03864,32.4,102.82,1.079645,3.3696,0.3488,10.716,0.029659109
Wi02-1022,Red,15.99,7.776,0.5341,0.1854,1.748,0.0736,11.7,33.95,1.086948,3.432,0.6431,8.46,0.030967074
Wi02-1023,Red,7.99,7.776,0.7154,0,2.3,0.07452,10.8,23.28,1.0877982,3.5152,0.5014,9.024,0.06543724
Wi02-1024,Red,15.99,7.008,0.6566,0.0206,2.024,0.06624,27.9,89.24,1.0852694,3.4528,0.7412,10.434,0.034458454
Wi02-1025,Red,14.99,7.68,0.1666,0.2987,2.208,0.02668,46.8,115.43,1.0784896,3.1512,0.3597,12.126,0.030555556
Wi02-1026,Red,14.99,7.104,0.2352,0.2266,9.844,0.03864,23.4,78.57,1.084986,2.9744,0.3924,9.118,0.032142596
Wi02-1027,Red,9.99,10.944,0.4508,0.515,2.484,0.11224,3.6,16.49,1.090654,3.2552,0.763,9.588,0.044354123
Wi02-1028,Red,8.99,5.664,0.6419,0,5.152,0.03036,7.2,30.07,1.083024,3.4528,0.5559,9.87,0.063563239
Wi02-1029,Red,8.99,9.504,0.6174,0.2472,2.208,0.07084,5.4,32.01,1.087166,3.2136,0.6213,8.836,0.042793398
Wi02-1030,Red,17.99,7.392,0.5978,0.1854,2.208,0.07636,5.4,19.4,1.085967,3.4216,0.654,9.588,0.035711387
Wi02-1031,Red,22.99,7.2,0.5096,0.1648,1.748,0.0782,10.8,33.95,1.086512,3.5152,0.6758,8.93,0.021944524
Wi02-1032,Red,25.99,7.2,0.2254,0.5047,7.084,0.04508,54.9,202.73,1.083569,3.2656,0.327,10.434,0.025876021
Wi02-1033,Red,19.99,6.336,0.1274,0.309,4.508,0.05336,42.3,127.07,1.084114,3.6504,0.4905,9.682,0.033502981
Wi02-1034,Red,19.99,6.144,0.1666,0.2781,1.38,0.03404,18,95.06,1.080844,3.5984,0.4578,10.34,0.024799575
Wi02-1035,Red,11.99,6.624,0.392,0.1751,11.868,0.03036,53.1,180.42,1.0873186,3.2032,0.5341,8.836,0.050654828
Wi02-1036,Red,11.99,5.472,0.2548,0.2472,16.376,0.05428,20.7,120.28,1.0875257,3.432,0.545,9.494,0.051535766
Wi02-1037,Red,15.99,10.176,0.3038,0.5047,2.024,0.05796,16.2,38.8,1.087384,3.2656,0.5559,9.212,0.031815447
Wi02-1038,Red,8.99,6.432,0.343,0.4944,8.096,0.05152,31.5,161.99,1.0859452,3.1616,0.5123,8.836,0.049585063
Wi02-1039,Red,26.99,7.776,0.2548,0.3399,10.212,0.04784,47.25,153.26,1.087384,3.1512,0.5341,9.588,0.026035503
Wi02-1040,Red,14.99,6.144,0.3626,0.3811,4.462,0.03772,35.55,210.005,1.0838088,3.224,0.545,9.212,0.02710902
Wi02-1041,Red,12.99,8.448,0.4606,0.5047,2.668,0.0782,15.3,106.7,1.088038,3.4216,0.654,9.212,0.047151816
Wi02-1042,Red,19.99,6.336,0.2548,0.3708,1.104,0.0322,38.7,122.22,1.0801246,3.1304,0.6867,10.716,0.028250329
Wi02-1043,Red,17.99,7.68,0.196,0.4532,0.92,0.05244,21.6,107.67,1.0808222,3.2136,0.3488,10.528,0.033856571
Wi02-1044,Red,21.99,7.392,0.2646,0.3502,1.656,0.02576,23.4,162.96,1.080299,3.1096,0.5232,11.374,0.020585335
Wi02-1045,Red,12.99,5.472,0.1568,0.3296,1.104,0.03312,6.3,86.33,1.0803099,3.3904,0.5232,10.34,0.038575376
Wi02-1046,Red,19.99,5.088,0.3871,0.0721,1.196,0.0322,23.4,98.94,1.08128,3.64,0.3815,9.964,0.032586703
Wi02-1047,Red,14.99,7.776,0.196,0.412,1.84,0.03404,17.1,84.39,1.081389,3.2448,0.5886,10.528,0.030352865
Wi02-1048,Red,15.99,9.984,0.5096,0.4635,1.84,0.0736,5.4,12.61,1.0875366,3.3488,0.8284,10.716,0.035328426
Wi02-1049,Red,9.99,5.856,0.4018,0.1442,9.568,0.03404,16.2,115.43,1.08564,3.5152,0.4905,9.4,0.037583581
Wi02-1050,Red,14.99,7.968,0.5194,0,1.288,0.0644,5.4,13.58,1.0855637,3.38,0.6976,9.4,0.032925851
Wi02-1051,Red,16.99,8.448,0.686,0,1.564,0.06348,7.2,18.43,1.0867409,3.4424,0.5777,9.4,0.026277505
Wi02-1052,Red,16.99,6.528,0.2352,0.3502,4.692,0.03496,27.9,96.03,1.081389,3.3696,0.5014,11.092,0.027980637
Wi02-1053,Red,23.99,5.664,0.2352,0.309,1.84,0.03036,25.2,89.24,1.0815525,3.5256,0.7521,10.246,0.021516945
Wi02-1054,Red,12.99,6.528,0.4508,0.2678,5.796,0.13524,44.1,154.23,1.0838306,3.2656,0.5123,9.4,0.04196167
Wi02-1055,Red,9.99,14.976,0.6321,0.5047,3.864,0.0874,9,22.31,1.0934335,3.0368,0.8066,10.434,0.050438124
Wi02-1056,Red,9.99,7.104,0.3234,0.2678,14.352,0.04508,60.3,203.7,1.0889863,3.1824,0.7412,8.93,0.044176529
Wi02-1057,Red,14.99,7.2,0.2058,0.7004,10.028,0.0414,34.2,129.01,1.087602,3.12,0.3924,8.178,0.037863012
Wi02-1058,Red,14.99,6.528,0.5782,0.103,1.564,0.05796,30.6,51.41,1.085422,3.5464,0.7303,9.118,0.043133026
Wi02-1059,Red,15.99,7.008,0.4214,0.2472,2.3,0.07176,24.3,64.99,1.0861632,3.744,0.6431,10.434,0.030657662
Wi02-1060,Red,8.99,7.296,0.294,0.2575,3.956,0.04968,19.8,107.67,1.085204,3.2448,0.5341,8.648,0.041798236
Wi02-1061,Red,9.99,7.2,0.2254,0.3605,16.376,0.05336,115.2,205.64,1.0926269,3.5776,0.4687,8.366,0.04052446
Wi02-1062,Red,11.99,5.952,0.2646,0.4841,1.104,0.13432,25.2,101.85,1.0815416,3.3592,0.5559,9.494,0.050438124
Wi02-1063,Red,15.99,7.2,0.2254,0.3296,8.464,0.03496,48.6,185.27,1.086294,3.1616,0.6104,9.118,0.026277505
Wi02-1064,Red,8.99,5.856,0.3332,0.2163,4.6,0.03864,15.3,129.01,1.0831657,3.1408,0.5777,8.836,0.05313368
Wi02-1065,Red,18.99,6.144,0.245,0.309,5.06,0.03496,13.5,125.13,1.084332,3.2656,0.5341,9.024,0.028988869
Wi02-1066,Red,17.99,6.336,0.2156,0.309,13.524,0.0414,45,131.92,1.0867736,3.2656,0.4033,9.964,0.032142596
Wi02-1067,Red,22.99,5.184,0.4116,0.2781,1.84,0.08464,20.7,53.35,1.0842339,3.9312,0.6976,11.562,0.024214354
Wi02-1068,Red,16.99,7.392,0.245,0.5047,2.3,0.04324,27.9,163.93,1.0818468,3.1928,0.6213,9.964,0.028616025
Wi02-1069,Red,15.99,6.144,0.245,0.7622,7.176,0.0414,46.8,202.73,1.085204,3.3384,0.4578,8.648,0.032474817
Wi02-1070,Red,12.99,6.816,0.3136,0.2472,12.052,0.046,46.8,197.88,1.08782,3.224,0.5341,8.272,0.039308036
Wi02-1071,Red,19.99,5.952,0.196,0.3193,0.92,0.02852,19.8,70.81,1.0794815,3.3696,0.5668,10.622,0.034951593
Wi02-1072,Red,15.99,11.04,0.343,0.5047,3.036,0.0644,9,35.89,1.090327,3.4528,0.9919,10.34,0.032812216
Wi02-1073,Red,12.99,6.432,0.1666,0.2781,1.288,0.02944,35.1,144.53,1.0818686,3.536,0.5668,9.87,0.053368006
Wi02-1074,Red,29.99,7.008,0.1862,0.2781,12.788,0.05244,40.5,150.35,1.0878963,3.0576,0.4469,8.272,0.016479672
Wi02-1075,Red,7.99,5.376,0.1764,0.2987,2.116,0.0368,4.5,45.59,1.0804734,3.1928,0.4905,9.494,0.084406964
Wi02-1076,Red,13.99,8.64,0.441,0.5047,2.392,0.07728,18.9,72.75,1.088583,3.484,0.6213,9.118,0.043650101
Wi02-1077,Red,8.99,5.952,0.5684,0,1.472,0.0598,7.2,17.46,1.086294,3.7024,0.9156,8.836,0.040837389
Wi02-1078,Red,15.99,7.2,0.5586,0.0206,2.392,0.07084,9.9,33.95,1.0851713,3.4944,0.6758,10.152,0.031600115
Wi02-1079,Red,20.99,6.048,0.147,0.309,1.288,0.02024,34.2,97,1.0801791,3.5568,0.6213,10.716,0.020869856
Wi02-1080,Red,21.99,7.008,0.4704,0.3296,1.932,0.05704,27.9,52.38,1.0870352,3.432,0.7085,9.4,0.025955578
Wi02-1081,Red,14.99,7.584,0.49,0.3399,1.84,0.07728,13.5,138.71,1.086512,3.328,0.5995,8.93,0.036629549
Wi02-1082,Red,9.99,6.144,0.2842,0.1854,13.8,0.0368,18.9,112.52,1.0871224,3.2656,0.545,8.648,0.050008866
Wi02-1083,Red,11.99,5.76,0.1372,0.3811,1.104,0.02944,56.7,143.56,1.0811165,3.4528,0.4796,10.528,0.040369343
Wi02-1084,Red,15.99,7.008,0.4998,0.1854,1.932,0.0644,10.8,27.16,1.0874712,3.6608,0.7957,8.93,0.034215789
Wi02-1085,Red,18.99,6.336,0.294,0.2575,7.36,0.03312,18.9,120.28,1.0830458,3.1824,0.4142,10.152,0.028341093
Wi02-1086,Red,11.99,7.2,0.4116,0.3296,2.484,0.06164,6.3,24.25,1.0859452,3.3696,0.4796,9.776,0.039012488
Wi02-1087,Red,13.99,8.256,0.4606,0.4841,2.208,0.06808,6.3,28.13,1.087711,3.2032,0.5014,8.93,0.042962709
Wi02-1088,Red,14.99,10.176,0.4312,0.7004,3.772,0.10488,5.4,23.28,1.08673,3.1824,0.7194,12.596,0.029953491
Wi02-1089,Red,13.99,7.008,0.2156,0.2678,1.38,0.0368,28.8,166.84,1.0812146,3.4008,0.5232,10.528,0.026688406
Wi02-1090,Red,13.99,5.952,0.3038,0.2369,3.036,0.04784,30.6,109.61,1.0837761,3.2864,0.5232,7.896,0.038003897
Wi02-1091,Red,25.99,7.68,0.441,0.2884,9.936,0.04692,22.5,152.29,1.085313,3.1824,0.5123,10.716,0.024577655
Wi02-1092,Red,13.99,6.336,0.1666,0.2884,1.656,0.03864,55.8,172.66,1.0813236,3.276,0.4578,9.588,0.051984877
Wi02-1093,Red,9.99,6.048,0.294,0.206,3.404,0.03588,30.6,128.04,1.0808222,3.12,0.4142,10.058,0.036763601
Wi02-1094,Red,13.99,6.624,0.245,0.4841,7.728,0.03864,32.4,151.32,1.0856836,3.276,0.5995,8.836,0.027194335
Wi02-1095,Red,24.99,6.72,0.147,0.2884,13.524,0.04692,26.1,144.53,1.0877328,3.0784,0.4251,8.46,0.02169865
Wi02-1096,Red,36.99,4.8,0.4116,0.2472,1.84,0.0552,17.1,48.5,1.080953,3.8688,0.8066,13.16,0.018944483
Wi02-1097,Red,13.99,8.352,0.8036,0.0206,1.104,0.0644,32.4,46.56,1.084768,3.328,0.6322,9.212,0.05131339
Wi02-1098,Red,13.99,7.776,0.3724,0.4944,1.656,0.14444,4.5,16.49,1.087384,3.432,1.1445,8.836,0.042625086
Wi02-1099,Red,14.99,8.448,0.4508,0.4635,2.392,0.0598,6.3,17.46,1.084223,3.4528,0.8611,13.16,0.032032988
Wi02-1100,Red,20.99,9.984,0.2352,0.4738,1.656,0.069,5.4,20.37,1.087384,3.38,1.1118,10.152,0.02443136
Wi02-1101,Red,15.99,7.584,0.3234,0.4223,1.38,0.05152,5.4,33.95,1.0834164,3.4216,0.7739,10.34,0.0331549
Wi02-1102,Red,26.99,7.008,0.637,0,1.104,0.0598,13.5,20.37,1.084114,3.5256,0.5123,9.4,0.01966027
Wi02-1103,Red,16.99,6.24,0.2548,0.3193,1.196,0.03128,53.1,140.65,1.0784896,3.2864,0.5886,11.656,0.030252277
Wi02-1104,Red,9.99,6.912,0.3038,0.4738,4.6,0.0368,2.7,28.13,1.079754,3.1616,0.5777,11.75,0.076579807
Wi02-1105,Red,14.99,7.392,0.1568,0.5047,1.84,0.05152,18,120.28,1.084332,3.4528,0.5341,10.058,0.027802983
Wi02-1106,Red,17.99,7.584,0.1666,0.3296,1.472,0.04876,42.3,145.5,1.084332,3.4216,0.8284,9.024,0.031923939
Wi02-1107,Red,8.99,7.296,0.4116,0.2575,3.588,0.09568,25.2,87.3,1.0876456,3.276,0.6213,8.554,0.043476715
Wi02-1108,Red,14.99,5.856,0.4018,0,1.472,0.05796,32.4,84.39,1.080626,3.4008,0.7303,10.152,0.030967074
Wi02-1109,Red,14.99,6.528,0.2744,0.4532,10.58,0.0368,52.2,216.31,1.086621,3.3488,0.6104,8.93,0.050654828
Wi02-1110,Red,10.99,7.392,0.245,0.309,7.176,0.03496,60.3,190.12,1.0851495,3.224,0.545,9.494,0.049796288
Wi02-1111,Red,13.99,7.392,0.9408,0.206,1.84,0.04324,13.5,58.2,1.085095,3.4944,0.4796,10.246,0.048143415
Wi02-1112,Red,9.99,8.064,0.294,0.2575,16.33,0.04324,22.5,211.46,1.0901744,3.0992,0.7194,8.554,0.042793398
Wi02-1113,Red,13.99,5.76,0.1666,0.3708,1.564,0.03864,12.6,59.17,1.0806696,3.3488,0.5886,10.152,0.032252768
Wi02-1114,Red,19.99,6.912,0.441,0.1545,1.84,0.07176,9,27.16,1.0857381,3.4216,0.5559,9.306,0.032812216
Wi02-1115,Red,7.99,12,0.4508,0.5047,4.14,0.0644,23.4,47.53,1.087929,3.172,0.6213,9.024,0.082116516
Wi02-1116,Red,8.99,6.528,0.2744,0.3502,6.9,0.0322,30.6,171.69,1.0866428,3.4632,0.4687,8.554,0.039909297
Wi02-1117,Red,17.99,5.856,0.5194,0.0824,1.748,0.07084,21.6,43.65,1.0848552,3.744,0.7412,9.682,0.027539657
Wi02-1118,Red,16.99,5.376,0.3136,0.3399,6.808,0.03404,22.5,92.15,1.0820212,3.38,0.5341,10.434,0.029465259
Wi02-1119,Red,16.99,6.624,0.3724,0.2987,12.558,0.04416,46.8,183.33,1.0876456,3.12,0.654,8.93,0.033620226
Wi02-1120,Red,19.99,7.392,0.3136,0.6386,9.752,0.03312,50.4,148.41,1.087602,3.2552,0.4796,8.366,0.035455393
Wi02-1121,Red,12.99,8.352,0.7497,0.2266,2.116,0.05888,8.1,40.74,1.085967,3.224,0.5995,8.836,0.050438124
Wi02-1122,Red,16.99,6.144,0.294,0.4635,3.22,0.18124,68.4,174.6,1.083678,3.1408,0.4251,8.554,0.034458454
Wi02-1123,Red,18.99,6.048,0.2646,0.5047,1.104,0.05796,31.5,89.24,1.080299,3.5152,0.4578,11.468,0.027539657
Wi02-1124,Red,14.99,7.2,0.4802,0.206,2.392,0.30544,7.2,13.58,1.086512,3.3384,0.981,9.87,0.033502981
Wi02-1125,Red,18.99,7.104,0.3626,0.3605,5.244,0.05612,10.8,91.18,1.086185,3.6192,0.7521,10.058,0.027024106
Wi02-1126,Red,14.99,6.432,0.3038,0.0927,1.288,0.03588,47.7,136.77,1.0813454,3.2448,0.4796,9.494,0.044893378
Wi02-1127,Red,8.99,6.24,0.5096,0.1751,1.288,0.04324,4.5,25.22,1.082588,3.3904,0.3488,9.4,0.064803468
