Brand_ID,Brand_Name,Classification,Price,quality,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,free_chlorides
R-1111,Blue Carriage Vintners,Red,14.99,5,5.94,0.3296,0.3895,6.984,0.04752,56.1,172.66,1.0849533,3.488,0.4186,9.494,0.049166625
R-1112,Thirsty Writer Vintners,Red,8.99,4,6.75,0.3502,0.228,3.7345,0.03069,5.1,32.98,1.0801682,3.2809,0.3276,11.918,0.054807079
R-1113,Abnormally Normal Wine,Red,14.99,6,6.75,0.7313,0,1.552,0.09108,22.44,30.07,1.0860215,3.6842,0.5278,10.1,0.035328426
R-1114,Singlewave Vines,Red,14.99,5,6.21,0.412,0.228,2.425,0.08217,30.6,43.65,1.085531,3.5534,0.5278,10.1,0.053603887
R-1115,Another Vineyards,Red,17.99,6,7.56,0.5974,0.2565,11.7855,0.03267,37.74,112.52,1.085531,3.2591,0.3549,10.908,0.026440719
R-1116,Underdog,Red,14.99,6,6.3,0.2369,0.3135,0.97,0.04257,46.92,106.7,1.0803862,3.3136,0.5915,10.908,0.029083218
R-1117,Bright Ring Vintners,Red,16.99,6,10.71,0.5974,0.551,1.843,0.07029,5.1,17.46,1.08782,3.3681,0.5733,10.1,0.033975679
R-1118,Busy Month Wine,Red,18.99,6,5.94,0.3296,0.209,16.199,0.04554,38.76,129.01,1.087711,3.5098,0.6097,10.504,0.03482732
R-1119,Roinad Vintners,Red,17.99,6,6.12,0.2266,0.3325,16.975,0.03861,38.76,148.41,1.089346,3.5316,0.3822,9.09,0.02816
R-1120,La Cabra,Red,9.99,5,6.12,0.2987,0.475,12.901,0.05247,48.96,188.18,1.087166,3.3681,0.4095,9.494,0.043133026
R-1121,Crazy Tomatoes,Red,9.99,5,5.94,0.5768,0.209,8.633,0.03366,27.54,129.01,1.0864575,3.488,0.4641,9.191,0.050008866
R-1122,La Escoba,Red,9.99,5,7.2,0.2472,0.456,6.596,0.04653,13.26,129.98,1.0858144,3.5207,0.637,10.1,0.043476715
